Payment_Date,Payment_Total
2018-01-21 19:00:00,8037.511046
2018-01-21 20:00:00,12177.349931
2018-01-21 21:00:00,10782.618431
2018-01-21 22:00:00,14705.400658
2018-01-21 23:00:00,14549.408655
2018-01-22 00:00:00,7008.709661
2018-01-22 01:00:00,5773.827724
2018-01-22 02:00:00,3294.450701
2018-01-22 03:00:00,687.9875
2018-01-22 04:00:00,263.867385
2018-01-22 05:00:00,200.9625
2018-01-22 06:00:00,110.572385
2018-01-22 07:00:00,275.425
2018-01-22 08:00:00,866.87
2018-01-22 09:00:00,3370.236
2018-01-22 10:00:00,4308.014655
2018-01-22 11:00:00,5816.941431
2018-01-22 12:00:00,6855.081
2018-01-22 13:00:00,7385.299586
2018-01-22 14:00:00,9828.636
2018-01-22 15:00:00,10109.8117705
2018-01-22 16:00:00,12343.513247
2018-01-22 17:00:00,11176.159793
2018-01-22 18:00:00,7019.254701
2018-01-22 19:00:00,8028.95431
2018-01-22 20:00:00,9953.365
2018-01-22 21:00:00,12023.732701
2018-01-22 22:00:00,14769.161971
2018-01-22 23:00:00,14500.924034
2018-01-23 00:00:00,10146.541885
2018-01-23 01:00:00,5876.017
2018-01-23 02:00:00,2267.201885
2018-01-23 03:00:00,1066.544385
2018-01-23 04:00:00,536.82
2018-01-23 05:00:00,89.516
2018-01-23 06:00:00,444.6475
2018-01-23 07:00:00,91.8275
2018-01-23 08:00:00,2352.485885
2018-01-23 09:00:00,2931.234655
2018-01-23 10:00:00,5727.22954
2018-01-23 11:00:00,7162.199885
2018-01-23 12:00:00,6895.307241
2018-01-23 13:00:00,9290.56227
2018-01-23 14:00:00,12018.4772815
2018-01-23 15:00:00,9654.836086
2018-01-23 16:00:00,13398.0964935
2018-01-23 17:00:00,11829.382609
2018-01-23 18:00:00,7104.746
2018-01-23 19:00:00,6132.0875
2018-01-23 20:00:00,10284.3466265
2018-01-23 21:00:00,13305.718431
2018-01-23 22:00:00,11829.900247
2018-01-23 23:00:00,15173.859
2018-01-24 00:00:00,9074.86804
2018-01-24 01:00:00,4772.373385
2018-01-24 02:00:00,3187.627385
2018-01-24 03:00:00,143.52
2018-01-24 04:00:00,209.184885
2018-01-24 05:00:00,34.385
2018-01-24 06:00:00,0.0
2018-01-24 07:00:00,419.041485
2018-01-24 08:00:00,1887.437661
2018-01-24 09:00:00,4542.063575
2018-01-24 10:00:00,4962.134977
2018-01-24 11:00:00,6656.314425
2018-01-24 12:00:00,9370.981655
2018-01-24 13:00:00,8002.183023
2018-01-24 14:00:00,10223.539238
2018-01-24 15:00:00,10749.8201435
2018-01-24 16:00:00,11874.8191895
2018-01-24 17:00:00,13935.917258
2018-01-24 18:00:00,6965.366
2018-01-24 19:00:00,9596.99127
2018-01-24 20:00:00,11240.421471
2018-01-24 21:00:00,13806.8767815
2018-01-24 22:00:00,14577.514885
2018-01-24 23:00:00,14994.435195
2018-01-25 00:00:00,9986.795546
2018-01-25 01:00:00,5312.7585
2018-01-25 02:00:00,2626.65727
2018-01-25 03:00:00,1368.385
2018-01-25 04:00:00,367.4825
2018-01-25 05:00:00,0.0
2018-01-25 06:00:00,91.942615
2018-01-25 07:00:00,436.252615
2018-01-25 08:00:00,1262.630885
2018-01-25 09:00:00,4483.33227
2018-01-25 10:00:00,4864.039885
2018-01-25 11:00:00,5238.939425
2018-01-25 12:00:00,5790.4683965
2018-01-25 13:00:00,9525.081425
2018-01-25 14:00:00,12501.58077
2018-01-25 15:00:00,14457.339287
2018-01-25 16:00:00,11565.7569425
2018-01-25 17:00:00,11633.778879
2018-01-25 18:00:00,7477.783
2018-01-25 19:00:00,6389.295925
2018-01-25 20:00:00,10399.921431
2018-01-25 21:00:00,13595.609695
2018-01-25 22:00:00,13328.292655
2018-01-25 23:00:00,11691.015
2018-01-26 00:00:00,9540.73304
2018-01-26 01:00:00,5629.8595
2018-01-26 02:00:00,1627.825391
2018-01-26 03:00:00,367.195115
2018-01-26 04:00:00,549.5275
2018-01-26 05:00:00,358.972615
2018-01-26 06:00:00,206.7125
2018-01-26 07:00:00,650.9
2018-01-26 08:00:00,1086.232615
2018-01-26 09:00:00,2452.535931
2018-01-26 10:00:00,5191.019546
2018-01-26 11:00:00,7289.9418965
2018-01-26 12:00:00,7163.050425
2018-01-26 13:00:00,6276.7560165
2018-01-26 14:00:00,10656.8886205
2018-01-26 15:00:00,11502.897563
2018-01-26 16:00:00,13324.291322
2018-01-26 17:00:00,11912.15885
2018-01-26 18:00:00,5386.45027
2018-01-26 19:00:00,6469.037109
2018-01-26 20:00:00,7076.156885
2018-01-26 21:00:00,9302.004885
2018-01-26 22:00:00,13378.375385
2018-01-26 23:00:00,11911.9871895
2018-01-27 00:00:00,7232.49927
2018-01-27 01:00:00,3301.523385
2018-01-27 02:00:00,1462.225115
2018-01-27 03:00:00,883.717615
2018-01-27 04:00:00,221.3175
2018-01-27 05:00:00,74.5775
2018-01-27 06:00:00,252.885
2018-01-27 07:00:00,733.4125
2018-01-27 08:00:00,1661.577385
2018-01-27 09:00:00,997.97
2018-01-27 10:00:00,2927.2675
2018-01-27 11:00:00,6901.655701
2018-01-27 12:00:00,8034.831316
2018-01-27 13:00:00,8014.959615
2018-01-27 14:00:00,12274.036871
2018-01-27 15:00:00,8244.464563
2018-01-27 16:00:00,6470.348155
2018-01-27 17:00:00,9560.0300285
2018-01-27 18:00:00,6957.476885
2018-01-27 19:00:00,6161.044431
2018-01-27 20:00:00,9587.113115
2018-01-27 21:00:00,8811.161655
2018-01-27 22:00:00,10327.1610805
2018-01-27 23:00:00,11317.8969825
2018-01-28 00:00:00,8353.346655
2018-01-28 01:00:00,4520.983891
2018-01-28 02:00:00,3466.789885
2018-01-28 03:00:00,647.0475
2018-01-28 04:00:00,549.930115
2018-01-28 05:00:00,22.885
2018-01-28 06:00:00,98.6125
2018-01-28 07:00:00,86.0775
2018-01-28 08:00:00,229.31
2018-01-28 09:00:00,1423.642155
2018-01-28 10:00:00,1511.214816
2018-01-28 11:00:00,3832.719586
2018-01-28 12:00:00,5505.04977
2018-01-28 13:00:00,5652.22631
2018-01-28 14:00:00,8279.666822
2018-01-28 15:00:00,10511.396497
2018-01-28 16:00:00,7962.3238045
2018-01-28 17:00:00,9716.027747
2018-01-28 18:00:00,7074.67327
2018-01-28 19:00:00,6786.092155
2018-01-28 20:00:00,8922.263132
2018-01-28 21:00:00,13754.11454
2018-01-28 22:00:00,15926.3498965
2018-01-28 23:00:00,13472.50277
2018-01-29 00:00:00,9218.6414655
2018-01-29 01:00:00,5505.659845
2018-01-29 02:00:00,1732.59
2018-01-29 03:00:00,497.605
2018-01-29 04:00:00,660.445
2018-01-29 05:00:00,287.04
2018-01-29 06:00:00,440.392385
2018-01-29 07:00:00,326.6
2018-01-29 08:00:00,1896.856
2018-01-29 09:00:00,2921.126385
2018-01-29 10:00:00,3927.572184
2018-01-29 11:00:00,5131.9325805
2018-01-29 12:00:00,5746.779701
2018-01-29 13:00:00,10219.784626
2018-01-29 14:00:00,9012.537994
2018-01-29 15:00:00,11521.620184
2018-01-29 16:00:00,9749.825994
2018-01-29 17:00:00,9451.344322
2018-01-29 18:00:00,4765.749201
2018-01-29 19:00:00,6923.805046
2018-01-29 20:00:00,8691.959509
2018-01-29 21:00:00,11971.442431
2018-01-29 22:00:00,12288.405316
2018-01-29 23:00:00,11748.11227
2018-01-30 00:00:00,8931.94558
2018-01-30 01:00:00,7064.219655
2018-01-30 02:00:00,1389.315
2018-01-30 03:00:00,1278.915
2018-01-30 04:00:00,183.597615
2018-01-30 05:00:00,0.0
2018-01-30 06:00:00,183.5975
2018-01-30 07:00:00,311.765
2018-01-30 08:00:00,1361.186
2018-01-30 09:00:00,3172.562385
2018-01-30 10:00:00,5870.335816
2018-01-30 11:00:00,7313.48204
2018-01-30 12:00:00,6961.1679365
2018-01-30 13:00:00,9439.981701
2018-01-30 14:00:00,7364.610925
2018-01-30 15:00:00,7573.106638
2018-01-30 16:00:00,7597.946132
